"State","Date","Cumulative_Cases","Daily_Cases","Cumulative_Deaths","Daily_Deaths"
"Alabama",2020-01-22,0,0,0,0
"Alabama",2020-01-23,0,0,0,0
"Alabama",2020-01-24,0,0,0,0
"Alabama",2020-01-25,0,0,0,0
"Alabama",2020-01-26,0,0,0,0
"Alabama",2020-01-27,0,0,0,0
"Alabama",2020-01-28,0,0,0,0
"Alabama",2020-01-29,0,0,0,0
"Alabama",2020-01-30,0,0,0,0
"Alabama",2020-01-31,0,0,0,0
"Alabama",2020-02-01,0,0,0,0
"Alabama",2020-02-02,0,0,0,0
"Alabama",2020-02-03,0,0,0,0
"Alabama",2020-02-04,0,0,0,0
"Alabama",2020-02-05,0,0,0,0
"Alabama",2020-02-06,0,0,0,0
"Alabama",2020-02-07,0,0,0,0
"Alabama",2020-02-08,0,0,0,0
"Alabama",2020-02-09,0,0,0,0
"Alabama",2020-02-10,0,0,0,0
"Alabama",2020-02-11,0,0,0,0
"Alabama",2020-02-12,0,0,0,0
"Alabama",2020-02-13,0,0,0,0
"Alabama",2020-02-14,0,0,0,0
"Alabama",2020-02-15,0,0,0,0
"Alabama",2020-02-16,0,0,0,0
"Alabama",2020-02-17,0,0,0,0
"Alabama",2020-02-18,0,0,0,0
"Alabama",2020-02-19,0,0,0,0
"Alabama",2020-02-20,0,0,0,0
"Alabama",2020-02-21,0,0,0,0
"Alabama",2020-02-22,0,0,0,0
"Alabama",2020-02-23,0,0,0,0
"Alabama",2020-02-24,0,0,0,0
"Alabama",2020-02-25,0,0,0,0
"Alabama",2020-02-26,0,0,0,0
"Alabama",2020-02-27,0,0,0,0
"Alabama",2020-02-28,0,0,0,0
"Alabama",2020-02-29,0,0,0,0
"Alabama",2020-03-01,0,0,0,0
"Alabama",2020-03-02,0,0,0,0
"Alabama",2020-03-03,0,0,0,0
"Alabama",2020-03-04,0,0,0,0
"Alabama",2020-03-05,0,0,0,0
"Alabama",2020-03-06,0,0,0,0
"Alabama",2020-03-07,0,0,0,0
"Alabama",2020-03-08,0,0,0,0
"Alabama",2020-03-09,0,0,0,0
"Alabama",2020-03-10,0,0,0,0
"Alabama",2020-03-11,3,3,0,0
"Alabama",2020-03-12,4,1,0,0
"Alabama",2020-03-13,8,4,0,0
"Alabama",2020-03-14,15,7,0,0
"Alabama",2020-03-15,28,13,0,0
"Alabama",2020-03-16,36,8,0,0
"Alabama",2020-03-17,51,15,0,0
"Alabama",2020-03-18,61,10,0,0
"Alabama",2020-03-19,88,27,0,0
"Alabama",2020-03-20,115,27,0,0
"Alabama",2020-03-21,149,34,0,0
"Alabama",2020-03-22,180,31,0,0
"Alabama",2020-03-23,224,44,0,0
"Alabama",2020-03-24,298,74,0,0
"Alabama",2020-03-25,472,174,1,1
"Alabama",2020-03-26,574,102,1,0
"Alabama",2020-03-27,684,110,4,3
"Alabama",2020-03-28,801,117,4,0
"Alabama",2020-03-29,880,79,10,6
"Alabama",2020-03-30,1001,121,10,0
"Alabama",2020-03-31,1063,62,23,13
"Alabama",2020-04-01,1175,112,27,4
"Alabama",2020-04-02,1371,196,32,5
"Alabama",2020-04-03,1606,235,38,6
"Alabama",2020-04-04,1727,121,44,6
"Alabama",2020-04-05,1905,178,45,1
"Alabama",2020-04-06,2079,174,49,4
"Alabama",2020-04-07,2308,229,64,15
"Alabama",2020-04-08,2614,306,66,2
"Alabama",2020-04-09,2954,340,70,4
"Alabama",2020-04-10,3112,158,80,10
"Alabama",2020-04-11,3346,234,92,12
"Alabama",2020-04-12,3667,321,93,1
"Alabama",2020-04-13,3870,203,99,6
"Alabama",2020-04-14,4041,171,114,15
"Alabama",2020-04-15,4307,266,118,4
"Alabama",2020-04-16,4465,158,133,15
"Alabama",2020-04-17,4557,92,148,15
"Alabama",2020-04-18,4788,231,153,5
"Alabama",2020-04-19,4978,190,157,4
"Alabama",2020-04-20,5163,185,163,6
"Alabama",2020-04-21,5404,241,183,20
"Alabama",2020-04-22,5692,288,196,13
"Alabama",2020-04-23,5899,207,202,6
"Alabama",2020-04-24,6092,193,209,7
